sha256,java,native,lib,time
67d8494829841cbf9badc471a0613b4ca909e848e825e6abac00d054f1d1ade4,17129,740,94,56.24706483
ac4d0a01a927e84cbdf8c8b5f7ddbd3d07bb79c4e80e8ed0b85dd83121025705,56171,217,0,110.6157813
5fb8cabd3dd8d4caca3f626f96419ea70e4fe401a25d1e25d37801018c5c33e7,17129,740,94,58.63328218
aaa2fd1edd5deb06a2c79eb1c920d2f0ceb1435131089841ae3bdb0aecf415b4,14385,1057,1,242.40133
67e794151dd32338e0b1935a77aca5b9a8d87c12c7a088326c2e9f2fff048279,23612,740,94,71.44778967
42d758ba933ad52fe0b5a719c0d88c9040372811d53f585a931a00b15176d1cf,81,0,0,269.8789983
efe368b0131387125f61f1e260a60140598ba8660cc29fe52f6b98f92dc08405,78113,75,0,260.320924
c7c46f7e5f58b1e6912bc0638475840741caed5685af0ab6b563a637b92d41a3,20447,740,94,65.63680649
5f0532ba1c7c4c1a16bf201a6ad84694ce079587996ee1983d84296aaa27bc49,10524,740,94,65.28313875
ad2d1366ce17d00889f98a2e258e448df1c3bd20bdf7cd24667cc70f4eddf68b,243,0,0,18078.6169
e28d6feff2c5eee2117c2a63f319d599ceb1aaf5ae831b4474f69a8ed7befe89,65863,75,0,235.0418463
611338471a379ed674f5aa1b4b7a0f9edde4ac5e0ae211b3dca178e69366b4d8,20377,740,94,67.64114594
413182232ba222eed14dd97729a468f17e3f353655e1c04c32c3549e6e4fd685,49590,740,94,132.2419169
b5c82034117c447659481738982e54be3ce707a803eacdb2797de00a76f34508,20709,740,94,135.307018
5ea66f982dd60d5ba6251d2e23ecaa9a50927f0c12298ac522a28480be235eb4,30144,740,94,92.79912567
d7d47abc80cdbc7d0aedf9b8e863e28f0b79ca47d71155a3d364ef096df98d7e,30144,740,94,92.80531788
ed6ae6a425d76c10840beae316ac575aef589dff973d4eecc3b1f31ecfed3fab,49887,75,0,4854.606801
ac48e0526730a611d363ae5dbfd2f3aa4296bd71c66e13b9db3d272b754edcd9,13885,740,94,141.1033034
e51a17e86e10dbfda43488f7a38c466537ef6faf9105812b7861972ad4962ef5,246419,15382,11,1377.619554
7fcc7930246c32e31b28b9c6657ec3a7ddc0697cba8711ca9b347834339dc6aa,29584,740,94,78.45172262
9c6c6a40b7e5f69dd51657c6f0c330f77e967c64e1bbfee2e03034b52d3b4ed3,64517,111,0,118.4842412
ae01cac8d8c73050d1adc3d2d0ded9f9d530e4574be5ffd17427984c75469c61,17138,740,94,60.69731569
fe5fe15cde9f9271c31e686582307a2f3bad8f09aafdee942a5d3497107a4d22,29798,0,0,258.3969219
44efa6f54dbe00964ead14f43a9b64e447760436a1b99529535f406021b9e262,27881,220,0,3675.570767
4fc7651fcf75fd527a9b572ab6a900eb569a78ce8159d6a7436b69e70651a85a,15639,999,0,11675.29151
82469085f7f459054b82bd1a17ec8b07d4dbf7ffa8f89f632a6d7c7c04a0ef54,36587,740,94,96.6005733
b24b268c7c9574bb5ffa48c239f77089bd14ba3ea8b6dde3da42958569477d01,30144,740,94,92.59210873
e23ee2230619f27f7beed38200eb97ef8cbb200b448a08b68e7baa179f127688,40253,740,94,102.3353412
e8a1a1f495bcc6bd0e4e2335e6816005b491517c2116b446e7c2e384ffad61a0,65863,75,0,226.2152867
95365f74b549edbe39e5162dc5c005283a7f31a72b847ef55692b184f7515335,39925,740,94,138.3820164
bd5d51ea642fd40fee31f2177257e33e91385a036415ba70aea86270765edaab,26984,740,94,78.07248545
4ae1c0faa06ee4dfb6c96b6537d027e90c870d7d3ddcfd5fcde680be9dc51c69,108,0,0,278.2222168
acf5f94f46b4a3c5f8b1d53accf11f1e6cff56aaad50e7b0f9e1d85fc8656c0c,26973,740,94,79.31656647
e9484114f77952ece8234927bcc865886938c41f4f4657741f01b22a214e10fa,36667,740,94,132.965097
d7ee7a41f36958ae62e5434395190e1f427c415260dbd4fb62fd2900c0dcaae2,36032,75,0,176.5316842
d0f06064fd7c105afb139a30010104e1fe4a41a0967e450f9509ed7aa793aa1a,30573,740,94,84.05513287
d33c36e9b28cda0c83324a7ed49237960d6c2f0865cce9cfcda691f0a05169d7,16701,300,0,92.60298991
4a595d6ad083a662076b3907bcc2f5c508d63e2a7d3c0c12b4ccab98870557fd,20481,740,94,64.98481488
8e662a20ad2a049b9b11c770d47c2db0c555ae2a863c7eef57a394dae1d40f6b,26973,740,94,77.85642505
d6c057170770ac92bb16ea36217105f42e60281fd49415af035a3a8076fd6181,17138,740,94,59.3431468
ded693418a1c5368e377ac654e06a5bac04faff52ee0ef42a31eebcbf1cca2e0,70331,740,94,157.8878188
80612fe193401626268553c54a865e67b76311e782005ede2ba7a87a5d637420,21242,740,94,65.48402572
41bef70c968f3eb259387baf4a1e5175fe55cadd988fbc6926583c6c40a12634,35822,8701,26,667.6941741
db293fd1f3ab31b677b5e10a8f2176b7b286b64d2e491ace0c53b32fc252e8ad,0,0,0,983.2981858
54f84dbb2a95a53af72e7346cbe139bdea1759c92c50ad202b66e8f6d548d876,30200,740,94,83.8741219
e5bdddd04c0a90f80298f187f2f3ca39341352ae3e9be2964cf61e4879bacece,65863,75,0,228.6807659
ffbd2c7ac562d6907c7f931bdcd4acf9dada03d4173e5b088b201fa9712f373b,65863,75,0,227.5910912
6ba772433e60d6908c1208a0b6f7be4d26872ba66833706da77279ac68d907af,37919,5,0,218.4579415
efde47aa921f1036abe076cba0d7ed00f8b1d0ed30898823437ff98b32da094c,65863,75,0,226.6756556
c846a255f1192c3199d13fb11466a714a86fe1c9eba08357c1f0c08de5be8b16,297,0,0,279.8473012
de68ac7b595350de4a21104f7a9b9786b3a05ce0a318c92b525e8f4d801bbbeb,20402,740,94,65.88645864
4db9e1f36c97542188b3601f2e1823968989cbe0ac3b481b8e29f565cfd213ee,243,0,0,1000.121404
a6291a63e3b4e8e3b58e96db2a98ba918e674b21b3483ec0a69da5c5594390d8,17236,740,94,60.6960423
e048ec0e7dac4a5de661cc028a0c08590929a4719a7e032fe088613988c642e1,23747,740,94,84.56803393
c140a16408a4af17f2aaac7a997f8b00ccef3d099ddb1caac2472e28fd5f2c30,243,0,0,589.2516553
ae7d2cbb3195e0c2b5186180dc55618529ded7f44e02e7c18570a5eab37c7015,23116,0,0,66.31892014
cad383793714838b9314753930b9acb4501e8c2f2af9e7bded3c58aa6928c9e6,297,0,0,684.815964
e756abaabdda267d08872c7e4aa22eb36d9f9e818ad88dfea7d4b5d21e90d01b,23729,740,94,71.90582418
aab8fa17b2cbcc7c7224b311b6ed9a72eb66897539c58355e829f3021d6f75fe,65863,75,0,226.2815437
9c589e849f1c1bdeecccbf86406e5e77152d884584707a07dbdc582f925e71c3,23729,740,94,71.76752996
9c6990766a0965792c1289b3d6d088862e74a8069d0ef3a2860d230921aa2684,270,0,0,706.1450579
72865adb5bafda646f6f60834e0462e1626c88f075e4161f3ce0ebf217d6c4cb,26866,740,94,81.75881982
fa266ac8a78e22bd2ad34ca85f5f8d9679e908a8542a59faa07bdd9e6e2be4cb,17220,740,94,63.47761178
b705f464aa4e7759e57e68c086a1ce266aed5797df728aa6a6588654c21bac59,36291,75,0,197.8495913
9fbe204763745c5757dfdca9d7db80a73e858d49f3789f909247405640e870b9,26973,740,94,85.67442751
4c1fd60477354eee08ac009b770f2bd04a560fcef3131f27f8ae008f37b64ca5,36291,75,0,194.2335005
e173fa29e054381db5b1b287c35094f71556e3dbe9cd29f223edd1efea6d51ad,65863,75,0,239.3230741
79415286b6ff864f1dcca1f16859fa3fe60797227db8cb0b4e8b5b33b71d0d6a,20389,740,94,68.12369609
bed19560508f8d4e33318f2a3c70527f9e07c58daab3b91b1297cec7e3edb98c,84078,75,0,273.2405493
ad55a3344b93e6c715f32f2a5daefc103254e90a858d02801efd22347185c950,17123,740,94,62.96011615
da1b36936d414dda25e738b011a7a1636e72a22b32a81404b89bd76b777475ad,65863,75,0,238.2982845
ab4de7adad9bf1a6a23212e105951fbf0fcae4becd9d6625ae2de37b06b17e37,38386,8622,6,670.0901577
a457354dab4ee63e281e5f4e527e5e83cffea3391775966436c789dee36c257b,8322,1048,0,354.9385414
f187722fd44eb90b9dc03551ee30bcbb19ceac0d3a2360e31b6ef1c1055d6ab6,20709,740,94,129.6076617
b7b9067db6efbe97ab54980b32659fbba2d0b05ac82d378b0e8ef0eb41b2bd1b,16281,75,0,133.9190488
7fbdd7d2b14e23499e335a97c5fe4d0378ef12e252978dcbe41f4d3c8c162fe3,16418,91,0,36.92800212
a779abf9765d0efaa5c25a92a9e4efaffea04956dc9652263fad8d129b829fcb,216,0,0,601.5153177
ef2b268d4ff17708d1d01e363cb486e7aa83616ab595434535cfb33be0f716c4,30144,740,94,93.56998444
bca00e220dfc30ba5916318a3f3776d43f980d5c2e38b3678e214697b5525076,40253,740,94,106.8492627
dc8ca477283c41ff8d4a2bb318f3a9aea426767c8c1e44bdb725ef5e63b65345,9922,111,0,26.2693665
fd118a4b4ea3b678beee1a1e55a520c63df26c82af52ebd3deeeb8c040aa3752,23947,740,94,75.03991914
b3d9dc74fb78427f5c36ded780def863f673d53248b3507070bf4e7614ae5222,23009,111,0,48.71602631
ca8eb1155c2f5b33822b906f2255cdeac0eead86a58f151c11bd5003458cfca1,10647,740,94,115.798413
7bbb4830583ac5a187c1bd93dcf05c7a90b83e9c9dca0b8b6fa5b9b7579f8aaa,48950,2541,0,331.4992731
ae5e8a3c226c8b175d2ba29961a2663380739ff35fd9093601955e1eace43cda,65863,75,0,234.9515486
84451991b1e3c28fc56152b56d28043377650ba07464a6430bdc3adb7bcbb319,37054,740,94,104.1908152
b66dd88e51111b78c83a5c5d7b817d05448549e9353e449fd18f10cdea880a2a,65863,75,0,239.2402213
eb41e67132858c6ac75e11c4cbbfce695cd4d603ef5a185171cb78f28029d6d2,65863,75,0,234.4649925
ba2aea2e12f7b57dad8b455710cfca3788af362ca987404bca44832510137cb7,65863,75,0,235.5298085
bcd146a0ac3ca48ed69bff20fa531563fb517273ea328809467e037de9dd94fd,16621,0,0,94.66156793
e26f3a360e2b79b85d08db3e3e00d93cafe3b59135ed6a29237e4d7afec2afd8,65863,75,0,244.6250749
8bd97c0334a346072152da1683c674005bc1cc5cc7c495cf32c0360f8c086efb,0,0,0,1271.101277
6a6816b47539e190ebfe1514c6f8b8872994ae71f607f95a22195771b8f905f3,65863,75,0,232.9979072
eab9f33515233cd64588742b326e9f70b3c57423f9a28646fb34f1687a869128,37589,5,0,235.945446
54a42147278b7ed37b23c0b4c926963b6fb2b03b1b61bb487f77cd9f1ec3ba75,243,0,0,17466.55565
c8ba8381bf5d3f9591ee7d067a57fc6e39fcdf4a91ef15d3811722c7b2e14dd3,39629,0,0,266.7633069
94112b350d0feceff0a788fb042706cb623a55b559ab4697cb10ca6200ea7714,3329,75,0,197.015331
a1f98073b0d39b6e3a981d7db2c528cc9b88a4cc207350f4467916f265d0244f,27098,740,94,80.34321237
e58bf56343d6a44b0d863534426109b348673c76ec433bf310e638f34eb786b7,20377,740,94,67.65178776
4b83cccae879d00fdd1b5d4d92f5e2b455d2bd79326c4a32836c6bc751d53a42,27,0,0,192.233427
5b62dff66a8d7a6f90b964ebb6c785918eb17ed54086ad8bf01b6593d3366af0,58829,1373,0,359.9255412
d7fb7bc3085e85bbca3f6721ac7388115e442026e6ca328901ada5c70f1528de,17129,740,94,66.70244622
56f7b19f66d278cb8b717ab2e5ffa6d330fead16062266f17d97c5e88f945257,0,0,0,1307.912215
e006d46c170de1ac9e3d740aa80dfe892ad87746ffa52bd25c0c83c2b559580f,33576,740,94,99.12596297
de0a2363f35cbb0a8cac1329c1d56db4affb78bcb7c27962a7ee89c465b69b54,10101,111,0,25.38675189
96877f7a5e45585054b16d334a359685fda09a90f0657ee841b09d8b234838e4,65863,75,0,237.3629062
eec74e23b8be5a53723a673b34c76bbbb05c42be98beae2f42948e4c7936f1ed,17009,740,94,61.31499815
bc407b8036b57b507881352cca4e899423bb60cd6e732a8a3fe2327a8fefc595,65863,75,0,237.6281266
b6bf9facfa89990adf7f01d561875ac54d7577ca351d0c23d69b5e83e376963e,597726,58,11,243.7675033
c136aa845d8b2b9e7adb5ac6683e3686f6fa3f52586505f6db8137e38ca86413,27104,740,94,82.67360544
c9ab3693d7eb1d9c2743dd713528349301c3b801a3326661e73b14ad784f5717,23603,740,94,78.95842099
c03f3e173695a66c2b6108dcf8e0468f65159677fbf24b3f5e2c18afa2ec62fd,36291,75,0,188.4495492
f574e38548ec0bb222ac28a7c8b87124f4419f8ae4bce0c74d87ac4b2ba1888a,270,0,0,759.2312851
fa3eae202c85a96767a4bbd48d10c37979d015de6f7dc21c1d373563d07d06cd,33529,740,94,99.04012322
9c6724919caf4dc134aacf828a62663084ddcd6459fd1249df36bcffc7ef2ebb,46424,740,94,114.6801202
dfe9c866d398484549ea178d6db5bc49f621a0e1b67a7f3e94a89afb4dde0033,20703,740,94,126.5880852
6b7302745e09fc93f22298fb32314e0c3beaa8f23326edbdeb2ba132a11a8d71,324,0,0,742.0721643
ea76cbf0213a109dd9d7ed4ecb5dd759eb428f814bb9a34122bc057c30bd8637,17129,740,94,60.10347223
cd85063af9e7bad04502bb2281bec86cfa203377865fb4daf1358883230c95cd,23158,0,0,102.5382068
d07c49e4bac9342ebb1e05cecf287aae844d9eb4f461c8cc3a6dfde8d615f56e,243,0,0,659.5116284
a7f23a85ef7f8e8724bd3279fe65011101d4d89c5a284c8cc23dd741f043be3d,65863,75,0,228.7228417
6cf1ea2f3c6c1fd5f154cbb70bb5cb582a7327ad0ba9e3ef232604e5f85c2b82,243,0,0,443.6913254
f66b055ba6ba7c1cdf45c53c34613046121185867f46f94034b1946c6d75afb8,20435,740,94,68.0256598
7e746faf9716cbf82e265893834124955793071fee67df6d6b4d403fbe863d5c,597726,58,11,232.3246608
d2e187f79bf1ddd51a0f115babbf935be9c7b10ba4184d278202efa72a5dcaca,59589,2256,12,334.8077366
a8cfa55ae7b1950fac0a90a0f310003b00a893d4e0fede65ae6b86aea40c43b8,135,0,0,425.363431
1eed87aa70b51454be3e5eb1898633b1b2600db9c102f8063,405,0,0,56.97937489
1eed87aa70b51454be3e5eb1898633b1b2600db9c102f80630ceda9959b66aae,50126,740,94,143.850718
2b7343896f640ed5b41b8e062101e372eac72f52f231ee5fda94ac4f39fa555e,27,0,0,759.577528
3f06b707eb3a10445cbb155b23ff2374b7094bc9ab132e0c4e33d68da3e7a291,65863,75,0,223.323195
27cfb1825486f02b7838dacf573fd45134d13b159ebb6a199301b32466915a05,40202,740,94,101.6423652
37e5b63e3038abc52cc19a31aacf9aa889dd52e9fe40c42eaa8474b73fbb6703,23158,0,0,98.1005969
2c47f0f264e7bf3704add37d02b665268a31adbe91c91a3487f2e38a442504be,17123,740,94,58.40513468
33af4b3acca35b70112fc6a2fbc369eabd7f8c3f1e99d0db76d4f84d24ee3a6e,17123,740,94,58.60225296
31b2ba2f2c1fb196dd38017134b5402dde24803f764de6962f68d2c71edbabdf,20475,740,94,76.29526377
2cc82a65fd6a370021b2773338620f78fc0d5a09ce315ec9e94db37ffd885367,27,0,0,468.3142953
2a704d286ee23f29f05fdadadbae1aaca74c908a27a70d37049fbfa656b60abf,16772,75,0,126.685993
00d878739873b7ef94786acbd3fa334f3c038e1b0370e2428cb476d836fb9b2c,17009,740,94,59.78229761
2d2c183a82b5f13e458946defa3d2dc361b6fbb1321fe0535dab40fca4b7c272,50120,740,94,148.0629935
27e7182937b196a1f4da4bd4835033c4cf011ad460d1b43882a5b6165beae765,20444,740,94,65.68359423
1870813fa67e3ceaedd50aea5378acd2104f8158ecff4c4934a07c55f6d0f44a,30211,740,94,83.75828981
19048945a3b5d05dc7794fc9ab559c345923297e6bb950f03534fa9b0f72ae30,20450,740,94,64.62591743
2baf6e70672789096752383f0dfda9774a3fef55cd64c5ad7fe5ce02f4beb8fb,23633,740,94,93.01583934
0c9f0cf005d34e251239fed8623b4c112e30ee6630e2b8dec0de449d3b276d8c,27,0,0,179.4625404
2d1eee053f84bfff1c9f4f82cad96dd60d04596236df9b929a921e32bf4efb0av,26930,740,94,139.4935815
22670788ea0108e1e205f34e0a039f994bc94f19563b6f09784074b41f61cc53,17210,740,94,71.99395347
2c2458fdc1112a6175d6ff4b4388a8f01ef0f02d9f95e101eaabb0bd2903b377,65863,75,0,229.2505999
10032dc19f609ed8b7577a5620c87a1bd9605ef0b12654e5983982cd640c0d89,48956,75,0,201.9227238
1c41f5520782e319cc0c320efcfcd87319741d296b503d450a19c0acc98ab8fd,162,0,0,17832.40886
3faf74256beb6a2ab23ca3c2e5b9d941779f82e303e7e0793375077598a9ddad,33582,280,0,4783.750604
008cd5abdf32debe0be75b66bf0bcde08c96e62cf77b4fc857ad0b201fcab808,38379,8615,4,672.131325
3fc0e65a821a67e42df20a3d6570ab563d55a87ae9bd39bb6c69057c0e30caa6,27,0,0,479.8577716
1e4e38dd376064392dbb7e89bf8bbc46394c4a996b2640fc7b2c077ff6ca2e74,17132,740,94,59.5565722
2d2dbc160478c9c4c1a506e806200c5e813dbf2d4f209d25a7541755ea071eb7,40253,740,94,102.240556
212573c9d8dc7045861365ab4b4d9badd8161ced31e8ef7a3780e86783b80ac1,1107,0,0,843.9680526
39c342b06323a2c59fa409f39b1e4193b1b8059dad8183d25c6e837b001700e1,756,0,0,8907.539902
2c6b542b30c644be1840e38eb8ed4592b671e4734c08fe57b315b92299b23a4a,27029,740,94,79.49976254
0f2420cf27f131a18e65616cdd3a96e209a7fb92a74a86f04aeed331904bf9cc,65863,75,0,227.8075058
26ff35d48fe1989993b34fe88b46310398d3628229a575c8039a3a6ec4f16cc4,65863,75,0,226.9509575
271983671f5e5e8b766519fc07c8fab349253fc3ecfb8d8c636df8a2633dd585,52526,6809,165,355.3707838
35cefbc2f7db302e881daebb572093d721e3e94cddec465b6f08877095b572bd,17132,740,94,61.34793949
2acbbdf6d166dfd3851e86051d829a67ce8be6cdfddf5b449d26819cff6a86cf,45853,75,0,186.3899858
05e0282e0ec7ab28e58f2b2d99cefe0b52ef21900f2ab3d0c0f17c47770ef2da,3985803,999,0,11975.29782
011d701664005b060f1392c3e7f3386cf5711bac825a52f810144f0394b017cf,30144,740,94,93.93720984
39a56d4f329f0ae2252df8c849130904f5c0a525814980ac707af206abc5ab7b,26991,740,94,82.61874652
1e1d93edc231e7f2fae9abb825640e803137a1a672b9d5e93bdfa6d7e8f57dce,20402,740,94,70.12312269
2b4f80512d91417e4a96c9921942fcd1fa7c712a0682d65c60605f5254576a37,36291,75,0,191.9151206
39bcc2325c3304b04fee7a82b263dcab978f0053acef8da98f485d35406a93f8,37589,5,0,248.5443878
11169e10b3c59c378129927ead74a698de0533d9cd6a0ef68bfe8dfd1ad6bfac,108,0,0,245.4824584
064c788acbf22b2bf141639f8612caf011078469e254c71d176007352589fc16,20444,740,94,72.99742556
1b78caac3d1be0df3752c559a6cf72da4e89006f08913189beb361a9890ec6ef,3487,64,0,23.33725429
0eff4ed561b34415051fb462dc998725ddbb6abd985cbabdac2c714b9f1b0da4,47440,654,0,123.2957249
0e92b147da0bfb389903f3a35102bd9d15d958f499ecbddb5b899554f0d26be1,108,0,0,145.2787998
35d7f04bf90be9c17d492126edb5ea3ca1e4b6c5270750d86bd93d557afba17e,351,0,0,752.7557464
2c10fbb13ca67e16937bafa457853acdfb6ed055d3a38cefb2da71570adb643c,65863,75,0,235.8472738
2de6c6d37701c0bfb01b0e26a4c500eb8b08887784595b2bc044420765a6b89e,65863,75,0,231.9229412
049d5d5e6dda98f512e0a9fd2d8e3299bb16adfb63d95033ed6a839588d14425,56574,740,94,143.0562534
08ad6b366abf609018b1866f609d132ecdb66981aae540d3316c7584c816b179,65863,75,0,244.4338925
1a6e44adc82241cfa5e02b8bc0fb14d4e26c9c051a6d36ac9b291605f08d7fe1,0,0,0,1011.165959
2a09c7416fe5ca92b577246ead3c8f00d8f31725d194bc90a6f9cc5fd6e6ad6e,30214,740,94,90.80574417
0dd696cae9f5fc107bac087165a9fb11cd30349541c80780294ebcd4ad86e64a,36291,75,0,187.6160047
21fabf2761a48807d648b333bf78c008172d4b8a048f61fde59cc7681181f7b7,297,0,0,669.9522295
06fd5e281179fdfad8c84a4a12977a6942b989923826f91b0bb2fc0d4c9e9641,20703,740,94,131.5022125
06fd5e281179fdfad8c84a4a12977a6942b989923826f91b0bb2fc0d4c9e9641,31424,0,0,59.12620902
28bff54b22ec6ee1098bef203ca4415004352b6884737d9134d08e69d02fbbbc,65863,75,0,238.1151626
06e762208cb75824e9ee6c6cfe0e42f2a342ee32a49c80e26b6a5facb5ea98e6,162,0,0,2710.442391
02f33a68e7425458671ae48d5fc4c451533b459fa678458c87186fe6d1969825,36291,75,0,188.6058743
047dadbd106ee6d03ab38b263510efb362a21e6f409f646b98ae0732646d603a,42695,740,94,107.5365748
034a7c39666d859c9773e3f4e305f79bef95471f45ec3362a9fb3f27c661bf01,17129,740,94,62.05667448
2fe4b182e394d83b0c065595f89da16659ae33dc578b32f95683cc6eec1b6c18,65863,75,0,238.9880531
33bcbc3a6c68a69dc318b689fedb4c8b47946d4bd46dbe2ce2281fe60d3427c9,65863,75,0,235.3846214
1a6eab7810fa72bda79f5fb38c83874ce38df7e0e7b0d19824f191f3260cd21a,20617,0,0,40.62068486
29f4bf3c5bbf737b6bd02003b06fb8d961789472f54a15df4aa47d8b94871596,65863,75,0,235.2070055
0b57c267a3028a744019b250a8af44e3d5d1a1ddc650709cec8423160325404f,36314,75,0,187.0435412
05c68734c04460dff87618c0065457788edcad84c23f32113b156a963290d917,33490,740,94,95.61326551
001e0f67b5bb9ddab14facbef94791eaed0eb939bcb651d19dafd0e2a05d8178,33582,740,94,100.1744945
