"Offset","Length","Mnemonic","DataType","Name","Comment"
"0x0","0x4","void *","void *","reserved0",""
"0x4","0x4","void *","void *","reserved1",""
"0x8","0x4","void *","void *","reserved2",""
"0xc","0x4","void *","void *","reserved3",""
"0x10","0x4","jint _func_240(JNIEnv * env) *","_func_240 *","GetVersion",""
"0x14","0x4","jclass _func_241(JNIEnv * env\, char * name\, jobject loader\, jbyte * buf\, jsize len) *","_func_241 *","DefineClass",""
"0x18","0x4","jclass _func_242(JNIEnv * env\, char * name) *","_func_242 *","FindClass",""
"0x1c","0x4","jmethodID _func_243(JNIEnv * env\, jobject method) *","_func_243 *","FromReflectedMethod",""
"0x20","0x4","jfieldID _func_244(JNIEnv * env\, jobject field) *","_func_244 *","FromReflectedField",""
"0x24","0x4","jobject _func_245(JNIEnv * env\, jclass cls\, jmethodID methodID\, jboolean isStatic) *","_func_245 *","ToReflectedMethod",""
"0x28","0x4","jclass _func_246(JNIEnv * env\, jclass sub) *","_func_246 *","GetSuperclass",""
"0x2c","0x4","jboolean _func_247(JNIEnv * env\, jclass sub\, jclass sup) *","_func_247 *","IsAssignableFrom",""
"0x30","0x4","jobject _func_248(JNIEnv * env\, jclass cls\, jfieldID fieldID\, jboolean isStatic) *","_func_248 *","ToReflectedField",""
"0x34","0x4","jint _func_249(JNIEnv * env\, jthrowable obj) *","_func_249 *","Throw",""
"0x38","0x4","jint _func_250(JNIEnv * env\, jclass clazz\, char * msg) *","_func_250 *","ThrowNew",""
"0x3c","0x4","jthrowable _func_251(JNIEnv * env) *","_func_251 *","ExceptionOccurred",""
"0x40","0x4","void _func_252(JNIEnv * env) *","_func_252 *","ExceptionDescribe",""
"0x44","0x4","void _func_253(JNIEnv * env) *","_func_253 *","ExceptionClear",""
"0x48","0x4","void _func_254(JNIEnv * env\, char * msg) *","_func_254 *","FatalError",""
"0x4c","0x4","jint _func_255(JNIEnv * env\, jint capacity) *","_func_255 *","PushLocalFrame",""
"0x50","0x4","jobject _func_256(JNIEnv * env\, jobject result) *","_func_256 *","PopLocalFrame",""
"0x54","0x4","jobject _func_257(JNIEnv * env\, jobject lobj) *","_func_257 *","NewGlobalRef",""
"0x58","0x4","void _func_258(JNIEnv * env\, jobject gref) *","_func_258 *","DeleteGlobalRef",""
"0x5c","0x4","void _func_259(JNIEnv * env\, jobject obj) *","_func_259 *","DeleteLocalRef",""
"0x60","0x4","jboolean _func_260(JNIEnv * env\, jobject obj1\, jobject obj2) *","_func_260 *","IsSameObject",""
"0x64","0x4","jobject _func_261(JNIEnv * env\, jobject ref) *","_func_261 *","NewLocalRef",""
"0x68","0x4","jint _func_262(JNIEnv * env\, jint capacity) *","_func_262 *","EnsureLocalCapacity",""
"0x6c","0x4","jobject _func_263(JNIEnv * env\, jclass clazz) *","_func_263 *","AllocObject",""
"0x70","0x4","jobject _func_264(JNIEnv * env\, jclass clazz\, jmethodID methodID\, ...) *","_func_264 *","NewObject",""
"0x74","0x4","jobject _func_265(JNIEnv * env\, jclass clazz\, jmethodID methodID\, void * args) *","_func_265 *","NewObjectV",""
"0x78","0x4","jobject _func_266(JNIEnv * env\, jclass clazz\, jmethodID methodID\, jvalue * args) *","_func_266 *","NewObjectA",""
"0x7c","0x4","jclass _func_267(JNIEnv * env\, jobject obj) *","_func_267 *","GetObjectClass",""
"0x80","0x4","jboolean _func_268(JNIEnv * env\, jobject obj\, jclass clazz) *","_func_268 *","IsInstanceOf",""
"0x84","0x4","jmethodID _func_269(JNIEnv * env\, jclass clazz\, char * name\, char * sig) *","_func_269 *","GetMethodID",""
"0x88","0x4","jobject _func_270(JNIEnv * env\, jobject obj\, jmethodID methodID\, ...) *","_func_270 *","CallObjectMethod",""
"0x8c","0x4","jobject _func_271(JNIEnv * env\, jobject obj\, jmethodID methodID\, void * args) *","_func_271 *","CallObjectMethodV",""
"0x90","0x4","jobject _func_272(JNIEnv * env\, jobject obj\, jmethodID methodID\, jvalue * args) *","_func_272 *","CallObjectMethodA",""
"0x94","0x4","jboolean _func_273(JNIEnv * env\, jobject obj\, jmethodID methodID\, ...) *","_func_273 *","CallBooleanMethod",""
"0x98","0x4","jboolean _func_274(JNIEnv * env\, jobject obj\, jmethodID methodID\, void * args) *","_func_274 *","CallBooleanMethodV",""
"0x9c","0x4","jboolean _func_275(JNIEnv * env\, jobject obj\, jmethodID methodID\, jvalue * args) *","_func_275 *","CallBooleanMethodA",""
